,room_id,host_id,room_type,city,neighborhood,District,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
769,5368636,7839380,Private room,Beijing,"Guanghuinanli/Dawanglu/CBD/ Guomao, Beijin",chaoyang,8,5,2,1,1,40,2,39.907458,116.470729,03:23.6
770,5378308,27881152,Private room,Beijing,Ahn Jung,chaoyang,14,4.5,2,1,1,28,1,39.953391,116.395275,57:16.6
771,5389613,14527468,Entire home/apt,Beijing,Xizhimen,dongcheng,12,5,4,2,1,97,3,39.946566,116.348543,33:19.7
772,5429415,790886,Private room,Beijing,Sanlitun,chaoyang,1,5,2,1,1,75,2,39.934317,116.455358,04:19.4
773,5433892,28187874,Private room,Beijing,Shilipu,chaoyang,0,,2,1,1,48,1,39.918979,116.518277,29:14.1
774,5439122,1991627,Private room,??? (Beijing),"Shuanqinglu, Wudaokou, Haidan District, ??? (Beiji",haidian,5,5,2,1,1,46,1,40.014982,116.3434,16:58.4
775,5439236,1991627,Entire home/apt,??? (Beijing),"Shuanqinglu, Wudaokou, Haidan District, ??? (Beiji",haidian,3,5,,2,1,81,1,40.016184,116.343676,33:38.3
776,5439246,26774392,Private room,Beijing,Wangjing,chaoyang,0,,2,1,1,35,1,40.00369,116.463321,04:03.6
777,5439428,26774392,Private room,Beijing,Wangjing,chaoyang,2,4,2,1,1,35,1,40.005494,116.468013,03:17.3
778,5448115,28260722,Entire home/apt,Beijing,Xicheng,xicheng,2,4.5,,3,1,96,1,39.90635,116.336653,49:22.5
779,5451792,26602518,Private room,??,"????, ?",miyun,9,5,2,1,1,29,1,39.969515,116.439484,03:17.9
780,5458665,28279499,Entire home/apt,??,"?????, ?",miyun,0,,4,1,1,161,1,39.903382,116.406748,13:48.6
781,5460806,4260834,Private room,Beijing,"Beimencang Hutong, Building, Beijin",dongcheng,4,5,2,1,1,15,4,39.935346,116.429571,08:32.2
